F	X	Y	Z	W	P	R
3.619	-3.727	-19.078	0.112	-0.65068	0.1271	0
3.625	-1.608	-19.407	0.113	-0.6619	0.05485	0
3.631	0.538	-19.502	0.113	-0.66511	-0.01833	0
3.637	2.685	-19.359	0.114	-0.66024	-0.09155	0
3.642	4.807	-18.98	0.114	-0.64731	-0.16392	0
3.647	6.877	-18.369	0.115	-0.62647	-0.23455	0
3.652	8.872	-17.532	0.115	-0.59793	-0.30258	0
3.657	10.766	-16.479	0.115	-0.56201	-0.36718	0
3.662	12.536	-15.221	0.116	-0.51913	-0.42754	0
3.665	14.159	-13.775	0.116	-0.46978	-0.4829	0
3.671	15.616	-12.155	0.117	-0.41454	-0.53259	0
3.678	16.889	-10.382	0.117	-0.35407	-0.57601	0
3.682	17.961	-8.476	0.117	-0.28906	-0.61255	0
3.69	18.817	-6.46	0.118	-0.22031	-0.64176	0
3.695	19.448	-4.358	0.118	-0.14864	-0.66327	0
3.698	19.844	-2.196	0.119	-0.07491	-0.67678	0
3.702	20	0	0.119	0	-0.68211	0
3.354	19.932	1.994	0.119	0.06802	-0.67981	0
3.36	19.665	3.976	0.12	0.13558	-0.67069	0
3.365	19.202	5.923	0.12	0.20201	-0.6549	0
3.37	18.547	7.818	0.121	0.26663	-0.63254	0
3.375	17.704	9.641	0.121	0.3288	-0.6038	0
3.381	16.682	11.374	0.121	0.38789	-0.56893	0
3.386	15.491	12.998	0.122	0.44331	-0.52832	0
3.388	14.142	14.499	0.122	0.49449	-0.48232	0
3.393	12.648	15.86	0.122	0.54092	-0.43136	0
3.4	11.023	17.067	0.123	0.58207	-0.37593	0
3.403	9.283	18.108	0.123	0.61758	-0.31661	0
3.409	7.446	18.972	0.124	0.64705	-0.25395	0
3.413	5.529	19.65	0.124	0.67017	-0.18855	0
3.418	3.55	20.133	0.124	0.68666	-0.12107	0
3.423	1.53	20.419	0.125	0.69639	-0.05219	0
3.428	-0.511	20.502	0.125	0.69922	0.01744	0
3.433	-2.554	20.381	0.126	0.69509	0.08711	0
3.437	-4.577	20.055	0.126	0.68399	0.15611	0
3.443	-6.562	19.53	0.126	0.66609	0.22378	0
3.447	-8.487	18.809	0.127	0.64148	0.28945	0
3.45	-10.333	17.898	0.127	0.61042	0.35242	0
3.455	-12.082	16.806	0.128	0.57316	0.41206	0
3.461	-13.717	15.543	0.128	0.53009	0.46781	0
3.465	-15.22	14.122	0.128	0.48162	0.51907	0
3.472	-16.576	12.556	0.129	0.42821	0.56531	0
3.476	-17.77	10.859	0.129	0.37035	0.60604	0
3.483	-18.792	9.049	0.129	0.30863	0.64089	0
3.487	-19.629	7.144	0.13	0.24366	0.66946	0
3.492	-20.274	5.163	0.13	0.17607	0.69146	0
